backend,batch_size,input_lbas,slm_read_chunk_bytes,slm_read_queue_depth,iteration,output_layout,physical_output_bytes_per_u8,slm_create_ms,ssd_to_slm_ms,program_setup_ms,fpga_execute_ms,slm_to_host_ms,host_verify_ms,dump_write_ms,cleanup_ms,transport_ready_ms,data_path_ms,one_shot_transport_ready_ms,one_shot_pipeline_ms,process_ms,per_u8_kernel_us,per_u8_data_path_us,kernel_plaintext_bytes_per_s,data_path_plaintext_bytes_per_s
fpga,128,1,131072,1,14,hpu-native-psi64-v80,98304,15.769000,16.099000,72.279000,29.668000,3458.800000,28.990000,0.000000,50.444000,3504.567000,3533.557000,3592.642000,3621.656000,3682.934000,231.781250,27605.914062,4314.413,36.224
fpga,128,1,131072,1,15,hpu-native-psi64-v80,98304,18.582000,15.523000,65.824000,30.123000,3164.503000,31.170000,0.000000,51.160000,3210.149000,3241.319000,3294.580000,3325.765000,3387.333000,235.335938,25322.804688,4249.245,39.490
fpga,128,1,131072,1,16,hpu-native-psi64-v80,98304,19.206000,17.493000,66.091000,28.579000,4488.399000,29.889000,0.000000,52.785000,4534.471000,4564.360000,4619.794000,4649.709000,4712.687000,223.273438,35659.062500,4478.813,28.043
fpga,128,1,131072,1,17,hpu-native-psi64-v80,98304,18.623000,21.835000,67.568000,29.283000,8807.041000,27.202000,0.000000,46.836000,8858.159000,8885.361000,8944.384000,8971.607000,9028.656000,228.773438,69416.882812,4371.137,14.406
fpga,128,1,131072,1,18,hpu-native-psi64-v80,98304,18.668000,21.420000,67.996000,32.007000,10105.960000,27.913000,0.000000,51.294000,10159.387000,10187.300000,10246.084000,10274.017000,10335.502000,250.054687,79588.281250,3999.125,12.565
fpga,128,1,131072,1,19,hpu-native-psi64-v80,98304,19.193000,16.720000,68.525000,28.279000,4055.426000,33.161000,0.000000,58.015000,4100.425000,4133.586000,4188.174000,4221.387000,4295.017000,220.929688,32293.640625,4526.327,30.966
fpga,128,1,131072,1,20,hpu-native-psi64-v80,98304,18.522000,17.827000,62.932000,31.058000,3618.932000,30.242000,0.001000,59.150000,3667.817000,3698.059000,3749.303000,3779.566000,3848.757000,242.640625,28891.085938,4121.321,34.613
fpga,128,1,131072,1,21,hpu-native-psi64-v80,98304,18.530000,15.727000,66.438000,29.084000,3484.037000,30.476000,0.000000,51.338000,3528.848000,3559.324000,3613.845000,3644.344000,3707.947000,227.218750,27807.218750,4401.045,35.962
fpga,128,1,131072,1,22,hpu-native-psi64-v80,98304,18.820000,18.351000,63.249000,29.932000,4994.190000,30.407000,0.000000,47.081000,5042.473000,5072.880000,5124.576000,5155.009000,5211.753000,233.843750,39631.875000,4276.360,25.232
fpga,128,1,131072,1,23,hpu-native-psi64-v80,98304,16.296000,14.954000,57.136000,28.060000,3321.664000,25.404000,0.000000,52.320000,3364.678000,3390.082000,3438.135000,3463.556000,3526.766000,219.218750,26485.015625,4561.654,37.757
fpga,128,1,131072,1,24,hpu-native-psi64-v80,98304,17.539000,14.687000,58.178000,28.342000,3658.455000,30.297000,0.000000,51.115000,3701.484000,3731.781000,3777.223000,3807.543000,3867.537000,221.421875,29154.539062,4516.266,34.300
fpga,128,1,131072,1,25,hpu-native-psi64-v80,98304,18.767000,14.223000,66.139000,28.874000,3460.833000,29.237000,0.000000,52.224000,3503.930000,3533.167000,3588.866000,3618.124000,3680.797000,225.578125,27602.867188,4433.054,36.228
fpga,128,1,131072,1,26,hpu-native-psi64-v80,98304,19.032000,14.251000,68.366000,31.414000,7631.738000,30.228000,0.000000,56.295000,7677.403000,7707.631000,7764.833000,7795.079000,7871.062000,245.421875,60215.867188,4074.616,16.607
fpga,128,1,131072,1,27,hpu-native-psi64-v80,98304,15.988000,14.085000,61.121000,29.517000,6568.544000,30.914000,0.000000,54.017000,6612.146000,6643.060000,6689.295000,6720.233000,6787.086000,230.601562,51898.906250,4336.484,19.268
fpga,128,1,131072,1,28,hpu-native-psi64-v80,98304,20.641000,17.883000,63.249000,28.798000,4040.788000,26.221000,0.000000,49.232000,4087.469000,4113.690000,4171.384000,4197.621000,4257.823000,224.984375,32138.203125,4444.753,31.116
fpga,128,1,131072,1,29,hpu-native-psi64-v80,98304,18.955000,16.076000,71.191000,27.548000,4746.703000,37.813000,0.000000,51.774000,4790.327000,4828.140000,4880.510000,4918.370000,4987.760000,215.218750,37719.843750,4646.435,26.511
