backend,mode,batch_size,iteration,elapsed_ms,per_u8_us,plaintext_bytes_per_s,logical_ciphertext_bytes_per_s
cpu,serial,128,7,61.410166000,479.766922,2084.345,136666362.374
cpu,serial,128,8,61.469660000,480.231719,2082.328,136534088.524
cpu,serial,128,9,61.508289000,480.533508,2081.020,136448341.133
cpu,serial,128,10,61.379954000,479.530891,2085.371,136733631.309
cpu,serial,128,11,61.431921000,479.936883,2083.607,136617964.462
cpu,serial,128,12,61.351078000,479.305297,2086.353,136797987.478
cpu,serial,128,13,61.273866000,478.702078,2088.982,136970368.411
cpu,serial,128,14,61.133180000,477.602969,2093.789,137285578.797
cpu,serial,128,15,61.062771000,477.052898,2096.204,137443877.219
cpu,serial,128,16,61.057617000,477.012633,2096.381,137455479.142
cpu,serial,128,17,61.060166000,477.032547,2096.293,137449740.965
cpu,serial,128,18,61.365198000,479.415609,2085.873,136766510.555
cpu,serial,128,19,61.890811000,483.521961,2068.158,135605009.280
cpu,serial,128,20,62.060201000,484.845320,2062.513,135234882.659
cpu,serial,128,21,62.025710000,484.575859,2063.660,135310083.512
cpu,serial,128,22,62.005803000,484.420336,2064.323,135353524.895
cpu,serial,128,23,61.991049000,484.305070,2064.814,135385739.319
cpu,serial,128,24,61.900665000,483.598945,2067.829,135583422.246
cpu,serial,128,25,62.084704000,485.036750,2061.699,135181509.442
cpu,serial,128,26,61.971314000,484.150891,2065.472,135428853.421
cpu,serial,128,27,61.970014000,484.140734,2065.515,135431694.432
cpu,serial,128,28,61.884720000,483.474375,2068.362,135618356.195
cpu,serial,128,29,61.809141000,482.883914,2070.891,135784187.650
